id,name,ra,dec,position_angle
1,V0375 Lac,22h 34m 41s,"+40 40' 03""",185.0
2,FY Lac,22h 32m 35s,"+45 31' 46""",185.0
3,BH Lac,22h 34m 52s,"+51 30' 27""",185.0
4,IS Per,01h 32m 10s,"+54 16' 35""",185.0
5,SV Cep,22h 21m 33s,"+73 40' 27""",185.0
6,YZ Cep,22h 18m 01s,"+57 17' 17""",185.0
7,BG Cep,22h 00m 30s,"+68 28' 22""",185.0
8,BH Cep,22h 01m 42s,"+69 44' 36""",185.0
9,BO Cep,22h 16m 54s,"+70 03' 45""",185.0
10,V0369 Per,02h 51m 17s,"+38 14' 40""",185.0
11,RZ Psc,01h 09m 42s,"+27 57' 01""",185.0
12,DI Cep,22h 56m 11s,"+58 40' 01""",185.0
13,T Tau,04h 22m 16s,"+19 28' 21""",185.0
14,RY Tau,04h 21m 57s,"+28 26' 35""",185.0
15,RW Aur,05h 07m 49s,"+30 24' 05""",185.0
16,NSV 93,00h 13m 51s,"+63 45' 27""",185.0
17,UY Aur,04h 51m 47s,"+30 47' 13""",185.0
18,DG Aur,05h 01m 33s,"+32 34' 02""",185.0
19,GM Aur,04h 55m 10s,"+30 21' 59""",185.0
20,GZ Aur,05h 00m 03s,"+30 01' 08""",185.0
21,V1777 Cyg,20h 47m 37s,"+43 47' 25""",185.0
22,HO Aur,05h 07m 46s,"+31 20' 18""",185.0
23,PS Aur,05h 11m 03s,"+32 18' 06""",185.0
24,V0347 Aur,04h 56m 57s,"+51 30' 51""",185.0
25,V0372 Aur,05h 54m 42s,"+41 52' 12""",185.0
26,V0642 Cas,00h 15m 04s,"+63 50' 38""",185.0
27,V0545 Cas,00h 20m 16s,"+59 23' 13""",185.0
28,MQ Cas,00h 09m 37s,"+58 13' 10""",185.0
29,NX Cas,00h 38m 59s,"+59 27' 48""",185.0
30,VX Cas,00h 31m 30s,"+61 58' 50""",185.0
31,NSV 87,00h 12m 56s,"+63 46' 30""",185.0
32,V0594 Cas,00h 43m 18s,"+61 54' 40""",185.0
33,CO Ori,05h 27m 38s,"+11 25' 38""",185.0
34,GW Ori,05h 28m 55s,"+11 47' 10""",153.0
35,HI Ori,05h 31m 23s,"+12 09' 43""",153.0
36,HK Ori,05h 31m 28s,"+12 09' 10""",153.0
37,V0339 Ori,06h 01m 04s,"+16 54' 40""",153.0
38,V0437 Ori,05h 26m 12s,"+11 27' 26""",153.0
39,V0613 Ori,05h 41m 34s,"+11 39' 23""",153.0
40,V0625 Ori,05h 43m 20s,"+09 06' 06""",153.0
41,V0626 Ori,05h 43m 20s,"+09 06' 06""",153.0
42,V0630 Ori,05h 44m 17s,"+09 10' 59""",153.0
43,CF Per,02h 03m 23s,"+57 43' 20""",153.0
44,V1818 Ori,05h 53m 42s,"-10 24' 00""",153.0
45,EO Per,02h 50m 38s,"+57 20' 10""",153.0
46,SS Mon,06h 41m 07s,"+10 26' 40""",153.0
47,ZZ Mon,06h 57m 15s,"-08 23' 58""",153.0
48,AD Tau,05h 34m 16s,"+25 36' 16""",153.0
49,BM Tau,03h 54m 31s,"+28 34' 18""",153.0
50,BP Tau,04h 19m 15s,"+29 06' 26""",153.0
51,CW Tau,04h 14m 44s,"+28 08' 03""",153.0
52,DG Tau,04h 27m 04s,"+26 06' 16""",153.0
53,DN Tau,04h 35m 27s,"+24 14' 58""",153.0
54,DQ Tau,04h 46m 53s,"+17 00' 00""",153.0
55,FX Tau,04h 30m 29s,"+24 26' 44""",153.0
56,GK Tau,04h 33m 34s,"+24 21' 05""",153.0
57,V0586 Tau,04h 29m 55s,"+24 45' 33""",153.0
58,V0587 Tau,04h 30m 16s,"+24 39' 29""",153.0
59,DS Tau,04h 47m 48s,"+29 25' 12""",153.0
60,DS Tau,04h 47m 48s,"+29 25' 12""",153.0
61,LV UMa,09h 32m 45.68s,"+49 38' 06.4""",185.0
